sentence,tags,fewshot_gpt
the polymerase chain reaction was developed in the 1980s by kary mullis .,"['O', 'MedicalProcedure', 'MedicalProcedure', 'MedicalProcedure', 'O', 'O', 'O', 'O', 'O', 'O', 'OtherPER', 'OtherPER', 'O']","['MedicalProcedure (polymerase chain reaction)', 'OtherPER (kary mullis)']"
the novel was dramatized in a tv movie in 1974 starring cicely tyson .,"['O', 'O', 'O', 'O', 'O', 'O', 'VisualWork', 'VisualWork', 'O', 'O', 'O', 'Artist', 'Artist', 'O']","['VisualWork (tv movie)', 'Artist (cicely tyson)']"
he was signed by the indianapolis colts following the draft .,"['O', 'O', 'O', 'O', 'O', 'SportsGRP', 'SportsGRP', 'O', 'O', 'O', 'O']",['SportsGRP (indianapolis colts)']
there are many examples but carmen linares and duquende often incorporate overtones .,"['O', 'O', 'O', 'O', 'O', 'OtherPER', 'OtherPER', 'O', 'Artist', 'O', 'O', 'O', 'O']","['OtherPER (carmen linares)', 'Artist (duquende)']"
they were quickly picked up and signed to management by doc mcghee .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'OtherPER', 'OtherPER', 'O']",['OtherPER (doc mcghee)']
she studied law at the university of bristol .,"['O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'ORG', 'O']",['ORG (university of bristol)']
"they played their home games at baylor stadium in waco , texas .","['O', 'O', 'O', 'O', 'O', 'O', 'Facility', 'Facility', 'O', 'HumanSettlement', 'HumanSettlement', 'HumanSettlement', 'O']","['Facility (baylor stadium)', 'HumanSettlement (waco , texas)']"
the following year she appeared in the film night at the museum as ben stiller 's love interest .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VisualWork', 'VisualWork', 'VisualWork', 'VisualWork', 'O', 'Artist', 'Artist', 'O', 'O', 'O', 'O']","['VisualWork (night at the museum)', 'Artist (ben stiller)']"
the royal exchange was founded in this period .,"['O', 'Facility', 'Facility', 'O', 'O', 'O', 'O', 'O', 'O']",['Facility (royal exchange)']
"his grandson alfred iii , prince of windisch-grätz was an influential politician .","['O', 'O', 'Politician', 'Politician', 'Politician', 'Politician', 'Politician', 'Politician', 'O', 'O', 'O', 'O', 'O']","['Politician (alfred iii , prince of windisch-grätz)']"
